id,title,price,make_date,kilometrage,engine,fuel_id,body_type_id,number_of_doors,wheel_drive,gearbox,condition_type,color,damaged,steering_wheel,mot_date,wheel_radius,weight,number_of_seats,origin_country,euro_id,co2,fuel_cons_urban,fuel_cons_extra_urban,fuel_cons_combined,image
https://m.autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-23522987.html,BMW 525,9 200 €,Pagaminimo data: 2011-04,Rida: 195 104 km,"Variklis: 2993 cm³, 204 AG (150kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Oro kondicionierius,,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R17,"Nuosava masė, kg: 1770",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,,"CO₂ emisija, g/km: 162 g/km","Mieste: 7,8","Užmiestyje: 5,2","Vidutinės: 6,2",41c8c38f-c3b3-4dad-9830-ac2224444cdc.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2012-dyzelinas-23535961.html,BMW 530,9 600 €,Pagaminimo data: 2012-03,Rida: 356 600 km,"Variklis: 2993 cm³, 258 AG (190kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Visi varantys (4х4),Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Pilka / sidabrinė,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-06,Ratlankių skersmuo: R17,,Sėdimų vietų skaičius: 5,,Euro standartas: Euro 5,"CO₂ emisija, g/km: ~ 149 g/km",,,,24346c3c-5c5a-4015-82e0-17838c257fec.jpg
https://m.autoplius.lt/skelbimai/bmw-530-gran-turismo-3-0-l-hecbekas-2010-dyzelinas-23510091.html,BMW 530 Gran Turismo,12 400 €,Pagaminimo data: 2010,Rida: 335 000 km,"Variklis: 2993 cm³, 245 AG (180kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024,Ratlankių skersmuo: R20,,Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 173 g/km","Mieste: 9,2","Užmiestyje: 6,4","Vidutinės: 8,3",2a4096e9-a2c2-404e-9825-3fd9a492e4ad.jpg
https://m.autoplius.lt/skelbimai/bmw-530-2-9-l-universalas-2000-dyzelinas-23532899.html,BMW 530,1 300 €,Pagaminimo data: 2000,Rida: 450 000 km,"Variklis: 2926 cm³, 184 AG (135kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,Klimato valdymas: Klimato kontrolė,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2023,Ratlankių skersmuo: R16,"Nuosava masė, kg: 1760",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 194 g/km",Mieste: 10,"Užmiestyje: 5,9",,36a23a7c-0767-4c25-b334-0b2c392979f1.jpg
https://m.autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2000-dyzelinas-23525889.html,BMW 525,1 400 €,Pagaminimo data: 2000-04,Rida: 376 000 km,"Variklis: 2497 cm³, 163 AG (120kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,Klimato valdymas: Oro kondicionierius,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2023-05,Ratlankių skersmuo: R17,"Nuosava masė, kg: 1575",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Belgija,,,"Mieste: 9,2","Užmiestyje: 5,3","Vidutinės: 6,7",7edaf0c3-898f-4381-8004-0c283044ca33.jpg
https://m.autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2001-benzinas-dujos-23539115.html,BMW 525,1 900 €,Pagaminimo data: 2001-09,Rida: 400 000 km,"Variklis: 2500 cm³, 192 AG (141kW)",Kuro tipas: Benzinas / dujos,Kuro tipas: Benzinas / dujos,Durų skaičius: 4/5,,Pavarų dėžė: Mechaninė,,Spalva: Pilka / sidabrinė,Defektai: Kiti stambūs defektai,Vairo padėtis: Kairėje,,,,,,,"CO₂ emisija, g/km: ~ 247 g/km",,,,08c9aa65-d47f-4fca-a00e-152499ce51e1.jpg
https://m.autoplius.lt/skelbimai/bmw-530-2-9-l-sedanas-2002-dyzelinas-23540585.html,BMW 530,2 000 €,Pagaminimo data: 2002-03,Rida: 374 647 km,"Variklis: 2926 cm³, 184 AG (135kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,Klimato valdymas: Klimato kontrolė,,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R17,"Nuosava masė, kg: 1625",Sėdimų vietų skaičius: 5,,,,"Mieste: 9,7","Užmiestyje: 5,6","Vidutinės: 7,1",a352c917-cc31-4c3d-b9c7-a09da78abfc2.jpg
https://m.autoplius.lt/skelbimai/bmw-523-2-5-l-universalas-2005-benzinas-dujos-23535041.html,BMW 523,2 000 €,Pagaminimo data: 2005,Rida: 459 021 km,"Variklis: 2497 cm³, 177 AG (130kW)",Kuro tipas: Benzinas / dujos,Kuro tipas: Benzinas / dujos,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-07,Ratlankių skersmuo: R17,"Nuosava masė, kg: 1565",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 230 g/km","Mieste: 12,1","Užmiestyje: 6,7",,52c12c2b-d67f-4ca2-8938-640af1859730.jpg
https://m.autoplius.lt/skelbimai/bmw-530-2-9-l-universalas-2002-dyzelinas-23538277.html,BMW 530,2 150 €,Pagaminimo data: 2002,Rida: 156 000 km,"Variklis: 2926 cm³, 193 AG (142kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R16,"Nuosava masė, kg: 1810",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,,"CO₂ emisija, g/km: ~ 226 g/km","Mieste: 11,6","Užmiestyje: 6,7","Vidutinės: 8,5",6fd40b42-6d07-4c2f-b663-b5ebf0101a0b.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2005-dyzelinas-23528501.html,BMW 530,2 300 €,Pagaminimo data: 2005,Rida: 300 000 km,"Variklis: 3000 cm³, 218 AG (160kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,,Pavarų dėžė: Automatinė,,Spalva: Pilka / sidabrinė,Defektai: Be defektų,Vairo padėtis: Kairėje,,,,,,,"CO₂ emisija, g/km: ~ 208 g/km",,,,45c4ee69-02e7-47d2-9d9a-f5397c13627a.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2004-dyzelinas-23519127.html,BMW 530,2 500 €,Pagaminimo data: 2004-11,Rida: 406 086 km,"Variklis: 2993 cm³, 218 AG (160kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Oro kondicionierius,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2023-10,,"Nuosava masė, kg: 1760",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 213 g/km","Mieste: 9,2","Užmiestyje: 5,3","Vidutinės: 6,6",b749997b-6110-41c0-8cd0-1089797287a7.jpg
https://m.autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2004-dyzelinas-23541131.html,BMW 525,2 950 €,Pagaminimo data: 2004-06,Rida: 324 646 km,"Variklis: 2497 cm³, 177 AG (130kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Oro kondicionierius,Spalva: Mėlyna / žydra,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-07,Ratlankių skersmuo: R17,"Nuosava masė, kg: 1750",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 213 g/km","Mieste: 8,3","Užmiestyje: 5,4","Vidutinės: 6,6",e9cd7c8c-41f8-4c7b-b7e8-ae783387e1d4.jpg
